Timestamp,LF_ax (m/s²),LF_ay (m/s²),LF_az (m/s²),RF_ax (m/s²),RF_ay (m/s²),RF_az (m/s²),LF_gx (rad/s),LF_gy (rad/s),LF_gz (rad/s),RF_gx (rad/s),RF_gy (rad/s),RF_gz (rad/s),LF_a_res (m/s²),RF_a_res (m/s²),LF_g_res (rad/s),RF_g_res (rad/s)
2025-03-22 19:52:59.840776,-1.02437,-0.05121,1.69053,-1.27896,0.34744,1.49551,-1e-05,-8e-05,9e-05,5e-05,-0.00013,9e-05,1.97733,1.99825,0.00012,0.00017
2025-03-22 19:52:59.850869,-1.84601,-0.09815,3.04487,-2.30213,0.62515,2.69336,-1e-05,-0.00013,0.00015,9e-05,-0.00024,0.00015,3.56211,3.59789,0.0002,0.0003
2025-03-22 19:52:59.860955,-2.50333,-0.14145,4.12738,-3.11804,0.84038,3.6514,-0.0,-0.00018,0.00021,0.00013,-0.00033,0.00021,4.82928,4.87454,0.00028,0.00041
2025-03-22 19:52:59.871051,-3.02823,-0.17801,4.99243,-3.77005,1.0128,4.41927,2e-05,-0.00021,0.00026,0.00017,-0.00038,0.00027,5.84177,5.89652,0.00033,0.0005
2025-03-22 19:52:59.881122,-3.44887,-0.21132,5.684,-4.29237,1.15289,5.03499,7e-05,-0.00023,0.00032,0.00022,-0.00041,0.00032,6.65186,6.716,0.0004,0.00056
2025-03-22 19:52:59.891210,-3.78466,-0.23558,6.23821,-4.70975,1.25827,5.52614,0.00013,-0.00026,0.00038,0.00027,-0.00042,0.00038,7.3003,7.36907,0.00048,0.00063
2025-03-22 19:52:59.901272,-4.05185,-0.2478,6.67918,-5.04509,1.34616,5.91643,0.0002,-0.00029,0.00043,0.00034,-0.00042,0.00043,7.81603,7.89109,0.00056,0.00069
2025-03-22 19:52:59.911338,-4.26537,-0.254,7.03339,-5.3136,1.40929,6.22578,0.00026,-0.00033,0.00048,0.00042,-0.0004,0.00049,8.22961,8.30547,0.00064,0.00076
2025-03-22 19:52:59.921432,-4.43762,-0.24962,7.32083,-5.52936,1.46434,6.47518,0.0003,-0.00035,0.00051,0.00052,-0.00038,0.00056,8.56442,8.6398,0.00069,0.00085
2025-03-22 19:52:59.931492,-4.57542,-0.24683,7.55174,-5.70126,1.50623,6.67662,0.00031,-0.00037,0.00053,0.00063,-0.00034,0.00063,8.83313,8.90788,0.00072,0.00095
2025-03-22 19:52:59.941560,-4.68686,-0.24484,7.73456,-5.83782,1.53687,6.83872,0.00031,-0.00037,0.00054,0.00074,-0.0003,0.0007,9.0471,9.12196,0.00072,0.00106
2025-03-22 19:52:59.951692,-4.77481,-0.25091,7.88152,-5.94946,1.56568,6.9653,0.00031,-0.00037,0.00054,0.00088,-0.00024,0.00078,9.21847,9.29316,0.00072,0.0012
2025-03-22 19:52:59.961755,-4.84446,-0.25624,7.9979,-6.03757,1.6007,7.06775,0.00032,-0.00036,0.00055,0.00102,-0.00017,0.00086,9.35419,9.43226,0.00073,0.00134
2025-03-22 19:52:59.971818,-4.89706,-0.26242,8.08885,-6.1107,1.63829,7.14732,0.00032,-0.00036,0.00055,0.00115,-9e-05,0.00093,9.45936,9.54509,0.00073,0.00148
2025-03-22 19:52:59.981884,-4.93819,-0.26473,8.16568,-6.17111,1.69348,7.20356,0.00033,-0.00036,0.00056,0.00124,-2e-05,0.00098,9.54642,9.63544,0.00074,0.00158
