Timestamp,LT_ax (m/s²),LT_ay (m/s²),LT_az (m/s²),LS_ax (m/s²),LS_ay (m/s²),LS_az (m/s²),RS_ax (m/s²),RS_ay (m/s²),RS_az (m/s²),RT_ax (m/s²),RT_ay (m/s²),RT_az (m/s²),LT_gx (rad/s),LT_gy (rad/s),LT_gz (rad/s),LS_gx (rad/s),LS_gy (rad/s),LS_gz (rad/s),RS_gx (rad/s),RS_gy (rad/s),RS_gz (rad/s),RT_gx (rad/s),RT_gy (rad/s),RT_gz (rad/s),LT_a_res (m/s²),LS_a_res (m/s²),RS_a_res (m/s²),RT_a_res (m/s²),LT_g_res (rad/s),LS_g_res (rad/s),RS_g_res (rad/s),RT_g_res (rad/s)
2025-03-17 13:35:59.008738,-1.88961,-0.46971,-0.19119,-1.98748,0.07418,-0.00096,-1.9657,-0.03613,-0.09188,-1.33185,1.42947,-0.28116,2e-05,-0.00015,-9e-05,6e-05,-0.0002,5e-05,2e-05,-0.00035,-5e-05,4e-05,-4e-05,0.00015,1.95648,1.98886,1.96818,1.97389,0.00018,0.00021,0.00035,0.00016
2025-03-17 13:35:59.025032,-3.41063,-0.84572,-0.33744,-3.57028,0.12538,-0.00148,-3.52822,-0.07533,-0.16491,-2.39062,2.57353,-0.48694,6e-05,-0.00024,-0.00015,0.00011,-0.00036,0.0001,4e-05,-0.00062,-8e-05,7e-05,-4e-05,0.00024,3.53009,3.57248,3.53288,3.54616,0.00029,0.00039,0.00063,0.00025
2025-03-17 13:35:59.037499,-4.62267,-1.13959,-0.45539,-4.83102,0.16707,1e-05,-4.78086,-0.10501,-0.22621,-3.25343,3.48542,-0.62979,0.00015,-0.00032,-0.00019,0.00013,-0.00047,0.00012,9e-05,-0.00084,-8e-05,7e-05,-4e-05,0.00029,4.78279,4.83391,4.78736,4.80932,0.0004,0.0005,0.00085,0.0003
2025-03-17 13:35:59.049301,-5.58439,-1.36726,-0.53684,-5.83961,0.204,-0.00574,-5.78345,-0.11511,-0.27907,-3.93005,4.22331,-0.74814,0.00023,-0.00038,-0.00022,0.00015,-0.00057,0.00015,0.00013,-0.001,-8e-05,0.00011,-7e-05,0.00031,5.77434,5.84317,5.79132,5.81733,0.0005,0.00061,0.00101,0.00034
2025-03-17 13:35:59.061706,-6.35043,-1.56209,-0.61946,-6.64553,0.22542,-0.01081,-6.58624,-0.1074,-0.3149,-4.46535,4.81865,-0.85215,0.00031,-0.00042,-0.00024,0.00017,-0.00065,0.00017,0.00014,-0.00111,-9e-05,0.00015,-0.00013,0.00032,6.569,6.64936,6.59464,6.62457,0.00057,0.00069,0.00112,0.00038
2025-03-17 13:35:59.073514,-6.96301,-1.70957,-0.68723,-7.29098,0.24231,-0.02157,-7.22656,-0.09167,-0.34859,-4.88522,5.29349,-0.9423,0.00038,-0.00045,-0.00026,0.00019,-0.00071,0.00018,0.00016,-0.0012,-8e-05,0.00017,-0.00016,0.00033,7.20267,7.29504,7.23554,7.26459,0.00064,0.00076,0.00121,0.0004
2025-03-17 13:35:59.085285,-7.45285,-1.8321,-0.71968,-7.8095,0.26826,-0.0206,-7.74121,-0.07381,-0.37602,-5.22734,5.67407,-0.99839,0.00043,-0.00047,-0.00028,0.00021,-0.00076,0.00019,0.00014,-0.00128,-8e-05,0.00013,-0.00012,0.00036,7.7084,7.81413,7.75069,7.77926,0.0007,0.00081,0.00129,0.0004
2025-03-17 13:35:59.097812,-7.84926,-1.92845,-0.76095,-8.22814,0.27993,-0.02151,-8.15556,-0.08178,-0.40227,-5.50128,5.97734,-1.05354,0.00041,-0.00049,-0.0003,0.00018,-0.00079,0.0002,0.0001,-0.00135,-9e-05,0.0001,-0.0001,0.00039,8.11843,8.23293,8.16588,8.19162,0.00071,0.00083,0.00136,0.00041
2025-03-17 13:35:59.109644,-8.17332,-1.99453,-0.79109,-8.56209,0.27587,-0.02008,-8.4868,-0.07954,-0.42471,-5.72808,6.2135,-1.107,0.00041,-0.0005,-0.00031,0.00016,-0.00082,0.00021,4e-05,-0.0014,-0.0001,9e-05,-0.00011,0.00041,8.45027,8.56656,8.49779,8.52314,0.00072,0.00086,0.0014,0.00043
2025-03-17 13:35:59.121800,-8.43808,-2.0438,-0.80994,-8.83141,0.29559,-0.01032,-8.75371,-0.11029,-0.43955,-5.91957,6.39668,-1.15408,0.00042,-0.00049,-0.00033,0.00017,-0.00082,0.00021,6e-05,-0.00146,-9e-05,9e-05,-0.0001,0.00043,8.71977,8.83636,8.76543,8.79151,0.00072,0.00086,0.00146,0.00045
2025-03-17 13:35:59.133873,-8.64773,-2.09063,-0.83555,-9.04399,0.31663,-0.00826,-8.96556,-0.13896,-0.44568,-6.08019,6.53677,-1.17594,0.00044,-0.00049,-0.00034,0.00018,-0.00082,0.00022,6e-05,-0.00151,-9e-05,4e-05,-4e-05,0.00043,8.936,9.04953,8.97771,9.00449,0.00074,0.00087,0.00151,0.00043
2025-03-17 13:35:59.145623,-8.8078,-2.12283,-0.85388,-9.2119,0.33706,-0.00924,-9.1281,-0.15663,-0.44508,-6.2137,6.64549,-1.19272,0.00044,-0.00048,-0.00034,0.00015,-0.00082,0.00022,9e-05,-0.00156,-8e-05,1e-05,-0.0,0.00041,9.10016,9.21807,9.14029,9.17579,0.00073,0.00086,0.00156,0.00041
2025-03-17 13:35:59.158115,-8.93131,-2.1608,-0.86161,-9.34504,0.35244,-0.00811,-9.25981,-0.18226,-0.45082,-6.31501,6.73844,-1.21595,0.0004,-0.00049,-0.00034,0.0001,-0.00081,0.00021,0.00013,-0.00159,-4e-05,-1e-05,1e-05,0.00038,9.22929,9.35169,9.27257,9.31474,0.00072,0.00084,0.0016,0.00038
2025-03-17 13:35:59.169838,-9.0258,-2.19859,-0.86133,-9.44891,0.32406,-0.02204,-9.36231,-0.18098,-0.44967,-6.39749,6.80922,-1.22544,0.00037,-0.0005,-0.00033,4e-05,-0.00082,0.0002,0.00018,-0.00162,0.0,-7e-05,1e-05,0.00034,9.32956,9.45449,9.37485,9.42311,0.0007,0.00084,0.00163,0.00035
2025-03-17 13:35:59.183326,-9.10619,-2.24366,-0.86231,-9.53919,0.29897,-0.01883,-9.45196,-0.17398,-0.44803,-6.44386,6.87493,-1.23591,0.00037,-0.0005,-0.00033,-0.0,-0.00081,0.0002,0.00023,-0.00164,4e-05,-0.00011,-1e-05,0.0003,9.41808,9.54389,9.46417,9.50345,0.0007,0.00083,0.00166,0.00032
2025-03-17 13:35:59.195504,-9.17887,-2.27229,-0.8662,-9.61285,0.28177,-0.01363,-9.5189,-0.11836,-0.4515,-6.47305,6.93803,-1.23638,0.00038,-0.00049,-0.00034,-0.0,-0.0008,0.00021,0.00029,-0.00167,7e-05,-7e-05,-6e-05,0.00027,9.49554,9.61699,9.53034,9.56897,0.00071,0.00083,0.0017,0.00029
