Timestamp,LF_ax (m/s²),LF_ay (m/s²),LF_az (m/s²),RF_ax (m/s²),RF_ay (m/s²),RF_az (m/s²),LF_gx (rad/s),LF_gy (rad/s),LF_gz (rad/s),RF_gx (rad/s),RF_gy (rad/s),RF_gz (rad/s),LF_a_res (m/s²),RF_a_res (m/s²),LF_g_res (rad/s),RF_g_res (rad/s)
2025-03-22 20:04:44.501745,-4.94069,-0.97236,8.51906,-5.55491,3.81318,7.32449,0.00051,-0.00049,0.00068,0.00046,-0.00082,0.00035,9.89597,9.95216,0.00098,0.001
2025-03-22 20:04:44.511819,-4.98792,-0.92337,8.49668,-5.50993,3.86386,7.33118,0.00036,-0.00044,0.00061,0.00037,-0.00081,0.00029,9.89573,9.95163,0.00083,0.00094
2025-03-22 20:04:44.521914,-5.02499,-0.88538,8.47926,-5.47299,3.90704,7.33414,0.00025,-0.00041,0.00056,0.00031,-0.00079,0.00024,9.89607,9.95029,0.00074,0.00088
2025-03-22 20:04:44.531983,-5.05202,-0.84804,8.46652,-5.44176,3.94254,7.33914,0.00018,-0.00038,0.00053,0.00026,-0.00078,0.0002,9.89566,9.95085,0.00068,0.00085
2025-03-22 20:04:44.542059,-5.07268,-0.82272,8.45824,-5.41774,3.9676,7.3417,0.00013,-0.00036,0.0005,0.00022,-0.00078,0.00017,9.89701,9.94959,0.00063,0.00083
2025-03-22 20:04:44.552148,-5.09089,-0.80845,8.44851,-5.39828,3.98596,7.34518,0.00012,-0.00035,0.00048,0.0002,-0.00078,0.00014,9.89687,9.94892,0.00061,0.00082
2025-03-22 20:04:44.562219,-5.10306,-0.79368,8.44335,-5.38247,4.00185,7.34965,0.00013,-0.00034,0.00047,0.0002,-0.00078,0.00013,9.89754,9.95003,0.00059,0.00082
2025-03-22 20:04:44.572294,-5.11591,-0.77253,8.44043,-5.36887,4.01384,7.35178,0.00017,-0.00033,0.00046,0.0002,-0.00079,0.00012,9.90001,9.94909,0.00059,0.00082
2025-03-22 20:04:44.582384,-5.12523,-0.75298,8.43617,-5.35918,4.02535,7.35158,0.0002,-0.00032,0.00046,0.00021,-0.00079,0.00012,9.89969,9.94837,0.00059,0.00083
2025-03-22 20:04:44.592460,-5.13221,-0.73112,8.43061,-5.34856,4.03552,7.35093,0.00022,-0.00032,0.00045,0.00022,-0.0008,0.00013,9.89693,9.94629,0.00059,0.00084
