Timestamp,LT_ax (m/s²),LT_ay (m/s²),LT_az (m/s²),LS_ax (m/s²),LS_ay (m/s²),LS_az (m/s²),RS_ax (m/s²),RS_ay (m/s²),RS_az (m/s²),RT_ax (m/s²),RT_ay (m/s²),RT_az (m/s²),LT_gx (rad/s),LT_gy (rad/s),LT_gz (rad/s),LS_gx (rad/s),LS_gy (rad/s),LS_gz (rad/s),RS_gx (rad/s),RS_gy (rad/s),RS_gz (rad/s),RT_gx (rad/s),RT_gy (rad/s),RT_gz (rad/s),LT_a_res (m/s²),LS_a_res (m/s²),RS_a_res (m/s²),RT_a_res (m/s²),LT_g_res (rad/s),LS_g_res (rad/s),RS_g_res (rad/s),RT_g_res (rad/s)
2025-03-17 13:36:30.629353,-9.47107,-2.68242,0.03136,-10.03427,0.94188,0.13593,-9.68532,-0.25329,-1.11497,-6.71812,6.93958,-1.90913,-0.00119,0.00236,0.00064,-0.00073,0.00087,-0.00375,0.00106,-0.00358,-0.0011,-0.00054,-0.00069,0.00042,9.84365,10.0793,9.75258,9.84559,0.00272,0.00392,0.00389,0.00097
2025-03-17 13:36:30.642665,-9.50451,-2.50916,0.08897,-9.98547,0.93512,0.31022,-9.6831,-0.38856,-1.2686,-6.79846,6.82919,-2.00444,-0.0007,0.00153,0.00036,-5e-05,0.00022,-0.0025,0.00122,-0.00304,-0.0011,-0.00014,-0.00072,0.00042,9.83054,10.03396,9.77357,9.84249,0.00172,0.00251,0.00346,0.00085
2025-03-17 13:36:30.655098,-9.50136,-2.37463,0.14033,-9.93637,0.93091,0.44678,-9.66576,-0.49461,-1.38936,-6.85173,6.72389,-2.13356,-0.00038,0.00084,0.00013,0.00054,-0.0003,-0.0015,0.00129,-0.00259,-0.00109,0.00015,-0.00071,0.00038,9.79461,9.98988,9.77762,9.83407,0.00093,0.00162,0.00309,0.00082
2025-03-17 13:36:30.667071,-9.49405,-2.28543,0.18237,-9.9026,0.95386,0.5376,-9.64543,-0.52251,-1.53334,-6.85678,6.66047,-2.25791,-0.00018,0.0003,-5e-05,0.00108,-0.00073,-0.00069,0.00089,-0.00222,-0.00107,0.00031,-0.00061,0.00024,9.76696,9.96295,9.78051,9.82219,0.00035,0.00147,0.00262,0.00073
2025-03-17 13:36:30.679350,-9.49825,-2.22603,0.21051,-9.87175,0.9782,0.59854,-9.64185,-0.49578,-1.65499,-6.85244,6.63103,-2.35405,-1e-05,-0.00012,-0.00019,0.00153,-0.00108,-4e-05,0.00029,-0.00191,-0.00106,0.00051,-0.00053,0.00013,9.75788,9.93814,9.79541,9.82181,0.00022,0.00187,0.0022,0.00075
2025-03-17 13:36:30.691460,-9.49587,-2.20411,0.2232,-9.86334,1.00797,0.66284,-9.63539,-0.46553,-1.75805,-6.85352,6.61441,-2.42019,0.00016,-0.00043,-0.00032,0.00187,-0.0014,0.0005,-0.00046,-0.00165,-0.00108,0.00068,-0.00045,6e-05,9.75087,9.93684,9.80552,9.82743,0.00056,0.00239,0.00202,0.00082
2025-03-17 13:36:30.703286,-9.4808,-2.22917,0.23312,-9.86643,1.04015,0.69585,-9.61874,-0.53681,-1.77398,-6.84673,6.59682,-2.44056,0.00035,-0.00063,-0.00045,0.00202,-0.00163,0.001,-0.00116,-0.0015,-0.00112,0.0008,-0.00035,7e-05,9.74213,9.94548,9.79568,9.81591,0.00085,0.00278,0.0022,0.00088
2025-03-17 13:36:30.715509,-9.47713,-2.25472,0.23746,-9.85885,1.0927,0.71533,-9.60519,-0.58283,-1.77619,-6.83148,6.58011,-2.45159,0.00052,-0.00078,-0.00059,0.00211,-0.00178,0.00143,-0.00159,-0.00142,-0.00115,0.00091,-0.00031,0.0001,9.74454,9.94498,9.78541,9.7968,0.00111,0.00311,0.00242,0.00097
2025-03-17 13:36:30.727320,-9.49404,-2.26823,0.24261,-9.83842,1.16106,0.72181,-9.59721,-0.58926,-1.74518,-6.83148,6.58133,-2.4329,0.00066,-0.00088,-0.00074,0.00212,-0.00187,0.00177,-0.00188,-0.0014,-0.00117,0.00101,-0.00032,0.00015,9.76425,9.93295,9.77238,9.79296,0.00133,0.00334,0.00262,0.00107
2025-03-17 13:36:30.739201,-9.51213,-2.26946,0.23644,-9.82567,1.22005,0.72724,-9.60136,-0.61067,-1.72851,-6.84776,6.5993,-2.36817,0.00078,-0.00096,-0.0009,0.00204,-0.00194,0.00205,-0.00204,-0.00135,-0.00123,0.00105,-0.00034,0.00021,9.78197,9.9278,9.7748,9.80055,0.00153,0.00348,0.00274,0.00112
