Timestamp,LF_ax (m/s²),LF_ay (m/s²),LF_az (m/s²),RF_ax (m/s²),RF_ay (m/s²),RF_az (m/s²),LF_gx (rad/s),LF_gy (rad/s),LF_gz (rad/s),RF_gx (rad/s),RF_gy (rad/s),RF_gz (rad/s),LF_a_res (m/s²),RF_a_res (m/s²),LF_g_res (rad/s),RF_g_res (rad/s)
2025-03-22 17:47:27.901391,-1.07988,-0.04499,1.66684,-1.07701,0.44172,1.64818,4e-05,-4e-05,9e-05,-1e-05,-0.00013,3e-05,1.98659,2.01781,0.00011,0.00013
2025-03-22 17:47:27.911466,-1.94402,-0.08145,2.99959,-1.9379,0.78887,2.96791,7e-05,-6e-05,0.00016,-2e-05,-0.00024,5e-05,3.57539,3.63129,0.00018,0.00025
2025-03-22 17:47:27.921547,-2.63558,-0.10919,4.0658,-2.62972,1.0685,4.02011,9e-05,-8e-05,0.00022,-2e-05,-0.00032,7e-05,4.84654,4.92122,0.00025,0.00033
2025-03-22 17:47:27.931621,-3.19026,-0.1321,4.91661,-3.18366,1.29029,4.8602,0.00012,-0.0001,0.00027,-2e-05,-0.00038,8e-05,5.86245,5.95165,0.00031,0.00039
2025-03-22 17:47:27.941698,-3.63257,-0.15138,5.59749,-3.62465,1.46845,5.53203,0.00013,-0.00011,0.00031,-2e-05,-0.00044,0.0001,6.67461,6.77479,0.00035,0.00045
2025-03-22 17:47:27.951764,-3.98713,-0.16489,6.1434,-3.97673,1.61145,6.07117,0.00015,-0.00013,0.00034,-1e-05,-0.00049,0.00011,7.32569,7.4344,0.00039,0.0005
2025-03-22 17:47:27.961830,-4.2715,-0.17714,6.58036,-4.25863,1.72681,6.50272,0.00015,-0.00014,0.00036,-1e-05,-0.00053,0.00013,7.84718,7.96261,0.00041,0.00055
2025-03-22 17:47:27.971906,-4.49852,-0.18382,6.92874,-4.48416,1.82244,6.84724,0.00016,-0.00015,0.00038,-0.0,-0.00056,0.00014,8.26304,8.38532,0.00044,0.00058
2025-03-22 17:47:27.981993,-4.68013,-0.19348,7.20792,-4.6629,1.89584,7.12453,0.00016,-0.00016,0.00039,0.0,-0.00058,0.00014,8.59623,8.72329,0.00045,0.0006
2025-03-22 17:47:27.992058,-4.8247,-0.19809,7.4315,-4.80685,1.95193,7.349,0.00017,-0.00017,0.00041,1e-05,-0.0006,0.00015,8.86251,8.99576,0.00048,0.00062
2025-03-22 17:47:28.002118,-4.93845,-0.20083,7.61395,-4.92201,1.99943,7.52905,0.00017,-0.00017,0.00042,2e-05,-0.00062,0.00016,9.07749,9.21469,0.00048,0.00064
2025-03-22 17:47:28.012194,-5.02681,-0.20732,7.75705,-5.01414,2.03743,7.66926,0.00017,-0.00017,0.00043,2e-05,-0.00062,0.00016,9.24574,9.38671,0.00049,0.00064
